id,en,pt,fr,fr_CA
ui.startup.warning.lights.title,warning!,aviso!,alerte!,attention!
ui.startup.warning.lights.description,this game contains flashing lights,este jogo apresenta luzes piscantes,ce jeu contient des lumières clignotantes,ce jeu contient des lumières clignotantes
ui.startup.warning.hardware_accel.title,performance warning!,aviso de desempenho!,avertissement de performances!,avertissement de performance!
ui.startup.warning.hardware_accel.description,this game requires you to have hardware acceleration activated for the best performance,este jogo requer que você tenha aceleração de hardware ativada para a melhor performance,ce jeu nécessite que l'accélération matérielle soit activée pour de meilleures performances,ce jeu nécessite que l'accélération matérielle soit activée pour de meilleures performances
ui.main_menu.play,play,jogar,jouer,Jouer
ui.credits.dev,developer,desenvolvedor,développeur,développeur
ui.credits.translators,translators,tradutores(as),traducteurs,traducteurs
ui.warning.erase_data,erase data? all progress will be lost,apagar dados? todo progresso será perdido,untranslated,untranslated
ui.warning.restart_game,the game needs to be restarted to apply the changes,o jogo precisa ser reiniciado para aplicar as mudanças,untranslated,untranslated
ui.settings.title,settings,configurações,configuration,configuration
ui.settings.camera_shake,camera shake,tremor de câmera,tremblement de la caméra,tremblement du caméra
ui.settings.fullscreen,fullscreen,tela-cheia,plein-écran,plein-écran
ui.settings.master_bus,master volume,volume geral,volume général,volume général
ui.settings.music_bus,music,música,musique,musique
ui.settings.player_bus,player sounds,sons do jogador,bruits du joueur,bruits du joueur 
ui.settings.entity_bus,entity sounds,sons de entidades,bruits d’entités,bruits d’entités
ui.settings.environment_bus,environment sounds,sons do ambiente,bruits d’ambiance,bruits d’ambiance
ui.settings.controls_up,walk up,andar para cima,untranslated,untranslated
ui.settings.controls_right,walk right,andar para direita,untranslated,untranslated
ui.settings.controls_down,walk down,andar para baixo,untranslated,untranslated
ui.settings.controls_left,walk left,andar para esquerda,untranslated,untranslated
ui.settings.controls_pause,pause,pausar,untranslated,untranslated
ui.settings.controls_throw,throw,atirar,untranslated,untranslated
ui.settings.controls_special,special,especial,untranslated,untranslated
ui.settings.press_any_key,press any key,aperte qualquer tecla,untranslated,untranslated
ui.settings.erase_data,erase data,apagar dados,untranslated,untranslated
ui.pause_screen.paused,paused,em pausa,en pause,en pause
ui.pause_screen.resume,resume,continuar,reprendre,continuer
ui.death_screen.game_over,game over,fim de jogo,game over,game over
ui.victory_screen.village_safe,the village is safe,a vila foi salva,le village est en sécurité,le village est sain et sauf
ui.challenges.title,challenges,desafios,défis,défis
ui.challenges.progress.title,progress,progresso,progrès,Progrès
ui.challenges.progress.description,complete the challenges to level up,complete os desafios para subir de nível,compléter les défis pour monter de niveau,compléter les défis pour monter de niveau
ui.challenges.village_savior.title,village savior,salvador de vilas,sauveur du village,sauveur du village
ui.challenges.village_savior.description,save the village,salve a vila,sovez le village,sauver le village
ui.challenges.full_belly.title,full belly,barriga cheia,ventre plein,Bedon plein
ui.challenges.full_belly.description,eat 5 or more enemies in a row,devore 5 ou mais inimigos seguidos,manger 5 ennemis ou plus de suite,manger 5 ennemis ou plus de suite
ui.challenges.triple_kill.title,triple kill,morte tripla,triple kill,triple KO
ui.challenges.triple_kill.description,kill 3 enemies with a single shot,mate 3 inimigos com um só tiro,tuer 3 ennemis avec un seule tir,tuer 3 ennemis avec une seule balle
ui.challenges.ant_on_a_stick.title,ant on a stick,espetinho de formiga,fourmi sur un bâton,fourmi sur un bâton
ui.challenges.ant_on_a_stick.description,make a soldier-ant impale 3 or more ants,faça uma formiga-soldado empalar 3 ou mais formigas,faire un soldat fourmi empaler 3 fourmis ou plus,faire un soldat fourmi empaler 3 fourmis ou plus
ui.challenges.accidental_punch.title,accidental punch,soco acidental,coup de poing accidentel,coup de poing accidentel
ui.challenges.accidental_punch.description,make a worm kill an enemy,faça uma minhoca matar um inimigo,faire un ver de terre tuer un ennemi,faire un ver tuer un ennemi
ui.challenges.friendly_fire.title,friendly fire,fogo amigo,assult amical,tir-ami
ui.challenges.friendly_fire.description,make a frog kill a soldier ant,faça um sapo matar uma formiga-soldado,faire une grenouille tuer un soldat fourmi,faire une grenouille tuer un soldat fourmi
ui.challenges.gotcha.title,gotcha!,te peguei!,je t'ai eu!,chté eu!
ui.challenges.gotcha.description,kill a fire ant before it explodes,mate uma formiga de fogo antes que ela exploda,tuer une fourmi de feu avant qu'elle n'explose,tuer une fourmi de feu avant qu'elle explose
ui.challenges.not_so_wet.title,not so wet,na seca,pas si humide,pas très mouillé
ui.challenges.not_so_wet.description,use fire to kill a frog,use fogo para matar um sapo,utiliser le feu pour tuer une grenouille,Brûlez une grenouille
ui.challenges.secret_weapon.title,secret weapon,arma secreta,arme secrète,arme secrète
ui.challenges.secret_weapon.description,use a frog to kill all enemies in the wave,use um sapo para matar todos os inimigos da onda,utiliser une grenouille pour tuer tous les ennemis dans une vague,utiliser une grenouille pour tuer tous les ennemis dans une vague
tutorial.movement,use the joystick to move your character,use o joystick para se movimentar,untranslated,untranslated
tutorial.pick_stone,pick up a stone,pegue uma pedra,untranslated,untranslated
tutorial.throw_stone,use the joystick to throw the stone,use o joystick para jogar a pedra,untranslated,untranslated
tutorial.hunger,don't get hungry!,não fique com fome!,untranslated,untranslated
tutorial.special_attack,press the lightning button to use your special attack!,aperte o botão do raio para usar seu ataque especial!,untranslated,untranslated
hud.wave_indicator,wave %s!,onda %s!,vague %s,vague %s!
